362.6	131.2
474.6	172.9
434.0	158.1
506.2	184.6
400.6	145.9
451.3	164.6
496.5	181.2
499.7	182.5
520.6	190.3
581.3	212.6
650.0	239.7
668.7	252.0
654.4	249.2
621.3	236.5
621.9	233.9
631.2	237.5
606.4	228.7
434.6	163.5
574.9	216.1
646.4	242.7
520.1	195.4
413.7	155.5
601.5	221.0
518.9	190.6
593.9	217.7
424.4	155.7
455.9	167.4
556.0	204.1
463.2	169.6
562.4	205.4
422.8	154.3
426.9	155.8
555.5	202.4
379.6	138.7
489.6	178.7
398.7	145.1
454.0	165.6
369.6	134.7
483.3	176.4
359.3	130.9
395.4	144.0
422.3	153.9
394.4	143.7
454.2	165.4
416.6	151.5
412.9	150.1
432.8	157.4
426.7	155.3
417.8	152.1
467.2	169.9
438.1	158.7
498.6	180.8
437.7	158.9
468.8	169.9
429.2	155.2
408.2	148.0
501.5	181.4
467.5	170.0
398.6	144.2
435.1	158.1
471.5	171.5
490.2	178.0
493.5	180.7
442.6	161.5
457.9	167.1
535.6	194.9
444.5	162.3
503.2	183.4
439.2	161.2
491.5	179.8
441.0	161.5
596.8	218.6
579.8	212.1
492.2	180.2
474.3	174.4
448.9	165.4
467.8	172.0
386.1	142.8
339.6	126.3
346.0	128.4
256.5	95.5
310.9	115.4
298.1	110.8
342.7	127.2
353.9	131.3
284.0	105.5
359.4	133.2
352.4	130.1
335.5	124.0
380.2	140.4
389.0	143.8
337.5	124.5
361.4	133.3
356.1	131.3
388.5	143.3
319.9	117.7
371.1	136.4
408.1	150.2
395.7	145.6
425.0	156.5
369.1	135.7
396.2	146.2
396.8	145.9
393.9	144.5
